Date,2BRS_TIT_030A,2BRS_TIT_030B,2BRS_PDIT_030,2BRS_FIT_030,6BRS_PIT_015,SYR13_PIT_001
4/25/2018 1:00,105.72,99.46,1.5,1243.3,40.36,32.17
4/25/2018 2:00,105.77,99.59,1.5,1253.11,40.36,32.15
4/25/2018 3:00,105.7,99.48,1.5,1244.99,40.28,32.1
4/25/2018 4:00,105.75,99.46,1.5,1245.53,40.27,32.11
4/25/2018 5:00,105.82,99.48,1.5,1247.51,40.29,32.12
4/25/2018 6:00,105.78,99.46,1.5,1247.37,40.34,32.17
4/25/2018 7:00,105.84,99.23,1.5,1249.05,40.47,32.26
4/25/2018 8:00,105.81,99.23,1.5,1246.69,40.46,32.25
4/25/2018 9:00,105.82,99.3,1.5,1245.35,40.57,32.31
4/25/2018 10:00,105.86,99.34,1.5,1250.21,40.63,32.36
4/25/2018 11:00,106.07,99.54,1.5,1244.73,40.61,32.37
4/25/2018 12:00,105.96,99.46,1.5,1252.71,40.84,32.55
4/25/2018 13:00,105.99,99.5,1.5,1248.37,40.88,32.6
4/25/2018 14:00,105.91,99.44,1.5,1241.89,40.85,32.71
4/25/2018 15:00,105.91,99.57,1.5,1243.34,40.34,32.69
4/25/2018 16:00,105.89,100.18,1.5,1247.86,40.57,32.86
4/25/2018 17:00,105.87,100.31,1.5,1259.58,40.56,33.03
4/25/2018 18:00,105.9,99.66,1.5,1256.12,40.53,33.16
4/25/2018 19:00,105.87,99.34,1.5,1250.27,40.51,33.15
4/25/2018 20:00,105.93,99.14,1.5,1246.02,40.45,33.12
4/25/2018 21:00,105.82,99.13,1.5,1247.1,40.38,33.08
4/25/2018 22:00,105.94,99.18,1.5,1252.47,40.31,33.01
4/25/2018 23:00,105.85,99.07,1.5,1249.42,40.52,33.2
4/26/2018 0:00,105.9,99.06,1.5,1249.64,40.62,33.34
4/26/2018 1:00,105.9,99.34,1.5,1249.38,40.66,33.41
4/26/2018 2:00,105.86,99.41,1.5,1245.25,40.63,33.41
4/26/2018 3:00,105.95,99.47,1.5,1246.01,40.61,33.41
4/26/2018 4:00,105.89,99.4,1.5,1247.9,40.7,33.48
4/26/2018 5:00,105.86,99.36,1.5,1246.51,40.7,33.49
4/26/2018 6:00,105.95,99.44,1.5,1242.83,40.67,33.46
4/26/2018 7:00,105.91,99.42,1.5,1243.02,40.71,33.49
4/26/2018 8:00,105.84,99.37,1.5,1244.69,40.81,33.57
4/26/2018 9:00,105.89,99.47,1.5,1239.39,40.81,33.57
4/26/2018 10:00,105.9,99.62,1.5,1251.34,40.85,33.58
4/26/2018 11:00,105.88,100.06,1.5,1246.1,40.94,33.66
4/26/2018 12:00,105.96,100.65,1.5,1253.13,40.99,33.67
4/26/2018 13:00,105.98,101.21,1.5,1250.15,41.09,33.79
4/26/2018 14:00,105.97,101.38,1.5,1259.56,41.19,33.86
4/26/2018 15:00,105.94,100.62,1.5,1244.85,41.17,33.88
4/26/2018 16:00,106.02,100.3,1.5,1240.45,41.16,33.88
4/26/2018 17:00,105.97,99.94,1.5,1220.48,40.99,33.81
4/26/2018 18:00,105.99,99.72,1.5,1208.89,40.96,33.84
4/26/2018 19:00,105.93,99.17,1.5,1155.94,40.88,33.93
